geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
State,,Virginia,All,2011-12,201141,,,81,1155,7.012987013,100.88558819
State,,District of Columbia,All,2010-11,201107,,,12,90,13.333333333,100.77685508
State,,Utah,All,2013-14,201426,,,18,321,5.6074766355,112.40136043
Region,5,,All,2017-18,201831,1,432,433,8811,4.9143116559,104.55577257
State,,New Mexico,All,2015-16,201546,,,26,379,6.8601583113,122.58349067
State,,West Virginia,All,2015-16,201617,,,40,420,9.5238095238,101.88495288
State,,Ohio,All,2010-11,201048,,,171,2121,8.0622347949,103.05188057
State,,Kentucky,All,2010-11,201048,,,72,817,8.8127294982,100.84037087
State,,Wisconsin,All,2016-17,201707,,,82,1081,7.5855689177,119.27535926
Region,8,,All,2010-11,201131,0,81,81,1360,5.9558823529,97.062911273
Region,4,,All,2016-17,201641,1,700,701,11700,5.9914529915,112.29180347
State,,Kentucky,All,2011-12,201206,,,76,842,9.026128266,103.92606154
State,,Mississippi,All,2017-18,201828,,,31,566,5.4770318021,102.14048267
State,,Colorado,All,2015-16,201607,,,44,772,5.6994818653,125.97439101
State,,Utah,All,2011-12,201219,,,19,279,6.8100358423,97.694640374
State,,Mississippi,All,2018-19,201901,,,46,679,6.7746686303,122.53248716
State,,Connecticut,All,2015-16,201628,,,42,563,7.460035524,101.59208447
State,,Massachusetts,All,2016-17,201709,,,127,1241,10.233682514,122.90214512
State,,Maryland,All,2017-18,201801,,,87,1115,7.802690583,133.84585341
State,,Georgia,All,2018-19,201906,,,63,1567,4.020421187,115.62779137
State,,New York City,All,2009-10,200944,,,101,998,10.120240481,100.22969285
State,,Rhode Island,All,2017-18,201824,,,13,175,7.4285714286,96.69786379
State,,South Dakota,All,2012-13,201243,,,9,123,7.3170731707,89.831219205
State,,Nebraska,All,2017-18,201807,,,33,335,9.8507462687,114.72414754
Region,2,,All,2009-10,200950,4,352,356,4314,8.2522021326,103.93898487
State,,Kansas,All,2010-11,201131,,,15,457,3.2822757112,96.923233041
State,,Tennessee,All,2015-16,201631,,,75,1225,6.1224489796,107.08624202
State,,Missouri,All,2018-19,201903,,,97,1246,7.7849117175,118.05500777
State,,Missouri,All,2014-15,201532,,,66,1089,6.0606060606,103.17969781
State,,Oregon,All,2013-14,201427,,,31,622,4.9839228296,100.96069462
State,,South Dakota,All,2010-11,201128,,,10,112,8.9285714286,81.797532935
Region,7,,All,2018-19,201908,17,187,204,2761,7.3886273089,117.35364579
State,,Iowa,All,2012-13,201242,,,35,579,6.0449050086,108.47459146
State,,Maryland,All,2009-10,200942,,,72,857,8.4014002334,102.87524338
National,,,65 years and older,2011-12,201220,13,2762,2775,34123,8.1323447528,98.773631501
State,,Vermont,All,2017-18,201740,,,6,109,5.504587156,108.64132767
National,,,All,2015-16,201547,14,3337,3351,51491,6.5079334253,108.22097752
State,,Wyoming,All,2013-14,201439,,,9,104,8.6538461538,123.85185185
State,,Utah,All,2012-13,201312,,,28,339,8.2595870206,118.70424045
State,,Oregon,All,2016-17,201731,,,21,653,3.2159264931,105.99249773
State,,Colorado,All,2013-14,201426,,,44,650,6.7692307692,106.06652092
State,,Maine,All,2014-15,201506,,,31,295,10.508474576,120.64849422
State,,Montana,All,2012-13,201323,,,15,163,9.2024539877,97.007232758
State,,Indiana,All,2013-14,201408,,,95,1209,7.8577336642,110.23081722
State,,Arizona,All,2017-18,201751,,,95,1309,7.2574484339,144.31889517
State,,Florida,All,2018-19,201903,,,247,4067,6.0732726826,122.56358865
State,,Michigan,All,2018-19,201907,,,108,1803,5.9900166389,106.78676483
National,,,All,2012-13,201307,209,4885,5094,54422,9.3601852192,114.38119358
State,,Kentucky,All,2016-17,201643,,,66,841,7.8478002378,103.80263391
State,,Louisiana,All,2011-12,201148,,,44,744,5.9139784946,95.109822559
State,,Wyoming,All,2017-18,201746,,,7,112,6.25,133.37891738
State,,Nebraska,All,2013-14,201415,,,35,345,10.144927536,118.14874896
State,,California,All,2014-15,201513,,,398,4736,8.4037162162,104.44883419
National,,,65 years and older,2011-12,201204,4,3568,3572,37218,9.5975065828,105.4298595
Region,7,,All,2014-15,201530,0,148,148,2396,6.1769616027,101.83967233
State,,Illinois,All,2011-12,201142,,,139,1918,7.2471324296,99.362965754
State,,Nevada,All,2013-14,201412,,,33,419,7.8758949881,109.70510122
State,,Kentucky,All,2012-13,201247,,,50,807,6.1957868649,99.606094608
