geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
State,,North Dakota,All,2015-16,201606,,,13,116,11.206896552,101.9126487
Region,2,,All,2010-11,201108,9,449,458,4571,10.019689346,110.13099208
Region,7,,All,2018-19,201902,19,208,227,2828,8.026874116,120.20141626
State,,Mississippi,All,2014-15,201452,,,47,662,7.0996978852,119.46466347
State,,Nebraska,All,2011-12,201221,,,22,291,7.560137457,99.655901293
State,,Massachusetts,All,2015-16,201540,,,83,1099,7.5523202912,108.83920829
State,,Maryland,All,2017-18,201817,,,61,936,6.5170940171,112.35849219
Region,3,,All,2009-10,200940,8,348,356,4991,7.1328391104,99.097489215
Region,7,,All,2015-16,201638,0,163,163,2351,6.9332199064,99.926990674
State,,Nevada,All,2012-13,201335,,,18,337,5.3412462908,88.235367809
State,,West Virginia,All,2013-14,201341,,,35,412,8.4951456311,99.944287107
State,,Texas,All,2012-13,201331,,,196,3241,6.0475161987,100.91428895
State,,Oklahoma,All,2016-17,201716,,,57,787,7.2426937738,113.02886829
State,,Oklahoma,All,2010-11,201041,,,48,690,6.9565217391,99.097737127
State,,Alabama,All,2010-11,201044,,,56,856,6.5420560748,92.678605656
State,,New Mexico,All,2014-15,201538,,,16,323,4.9535603715,104.47089046
State,,Illinois,All,2017-18,201805,,,204,2245,9.0868596882,116.30336711
Region,10,,All,2016-17,201725,1,104,105,1943,5.4040144107,105.26197098
State,,Wisconsin,All,2009-10,201003,,,63,923,6.8255687974,101.841958
Region,2,,All,2017-18,201751,11,398,409,4898,8.3503470804,118.00953822
Region,10,,All,2018-19,201849,1,118,119,2171,5.4813450023,117.61386465
State,,Nevada,All,2012-13,201321,,,19,428,4.4392523364,112.06153538
State,,New Mexico,All,2016-17,201652,,,28,365,7.6712328767,118.05534062
State,,Tennessee,All,2010-11,201040,,,107,1157,9.2480553155,101.14186287
State,,Wisconsin,All,2016-17,201709,,,101,1048,9.6374045802,115.63420583
State,,New Hampshire,All,2011-12,201225,,,15,201,7.4626865672,100.69512692
State,,South Dakota,All,2011-12,201150,,,12,154,7.7922077922,112.47160779
State,,Idaho,All,2009-10,201017,,,12,191,6.2827225131,85.923071956
Region,8,,All,2014-15,201446,0,90,90,1559,5.7729313663,111.26549903
State,,Rhode Island,All,2017-18,201811,,,18,175,10.285714286,96.69786379
State,,South Dakota,All,2016-17,201730,,,9,146,6.1643835616,106.62892686
State,,North Carolina,All,2012-13,201314,,,158,1760,8.9772727273,116.04078336
State,,Mississippi,All,2013-14,201342,,,36,546,6.5934065934,98.531278332
State,,Montana,All,2013-14,201436,,,11,173,6.3583815029,102.95859673
Region,5,,All,2015-16,201543,1,561,562,9130,6.1555312158,108.34118756
State,,North Dakota,All,2016-17,201723,,,11,130,8.4615384615,114.21245113
State,,Colorado,All,2017-18,201747,,,35,732,4.781420765,119.44722049
Region,4,,All,2009-10,201007,9,842,851,11277,7.5463332447,108.23202289
State,,Louisiana,All,2013-14,201438,,,30,757,3.963011889,96.771687738
Region,8,,All,2010-11,201136,0,79,79,1333,5.9264816204,95.135927005
State,,South Carolina,All,2015-16,201620,,,53,858,6.1771561772,107.6272102
State,,West Virginia,All,2009-10,201009,,,39,412,9.4660194175,99.944287107
State,,Kentucky,All,2018-19,201850,,,75,971,7.7239958805,119.84822536
State,,Utah,All,2013-14,201412,,,22,326,6.7484662577,114.15216044
State,,Nevada,All,2016-17,201714,,,31,449,6.9042316258,117.55988174
State,,Michigan,All,2013-14,201411,,,130,1848,7.0346320346,109.45199191
State,,Louisiana,All,2016-17,201722,,,45,872,5.1605504587,111.47280278
State,,Minnesota,All,2015-16,201607,,,73,911,8.0131723381,121.93964468
Region,2,,All,2013-14,201423,3,287,290,4036,7.1853320119,97.241015981
State,,Idaho,All,2015-16,201604,,,14,251,5.577689243,112.91461288
State,,Alaska,All,2010-11,201101,,,0,58,0,80.46465317
State,,California,All,2009-10,201015,,,495,4608,10.7421875,101.62589272
State,,Tennessee,All,2009-10,200945,,,105,1064,9.8684210526,93.012050209
State,,Kentucky,All,2015-16,201615,,,80,932,8.5836909871,115.03454792
State,,New York,All,2013-14,201427,,,113,1698,6.6548881037,93.139748203
State,,Kansas,All,2010-11,201135,,,33,481,6.8607068607,102.01329342
State,,Colorado,All,2010-11,201107,,,65,692,9.3930635838,112.92004997
Region,6,,All,2014-15,201526,0,377,377,5888,6.4028532609,105.92079215
State,,Idaho,All,2017-18,201742,,,12,294,4.0816326531,132.25855055
State,,Montana,All,2017-18,201810,,,19,216,8.7962962963,128.54946181
State,,Iowa,All,2010-11,201108,,,62,558,11.111111111,104.54027986
State,,Idaho,All,2010-11,201112,,,25,260,9.6153846154,116.96334402
State,,Maine,All,2015-16,201546,,,13,250,5.2,102.24448663
State,,Tennessee,All,2014-15,201503,,,155,1468,10.558583106,128.32865574
State,,Indiana,All,2016-17,201714,,,112,1322,8.4720121029,120.53361486
Region,2,,All,2016-17,201735,0,246,246,4224,5.8238636364,101.77057768
State,,Kansas,All,2010-11,201041,,,40,451,8.8691796009,95.650717946
State,,Idaho,All,2014-15,201451,,,20,237,8.4388185654,106.61658667
State,,Connecticut,All,2013-14,201341,,,33,517,6.3829787234,93.291487874
National,,,65 years and older,2017-18,201810,391,3280,3671,42397,8.6586315069,119.91508948
State,,Illinois,All,2012-13,201305,,,236,2282,10.341805434,118.22017093
State,,Montana,All,2009-10,201001,,,13,145,8.9655172414,86.294777607
National,,,All,2014-15,201442,13,3085,3098,49238,6.2918883789,103.48574491
State,,Virginia,All,2014-15,201524,,,57,1124,5.0711743772,98.177836473
National,,,65 years and older,2014-15,201536,2,2406,2408,35333,6.8151586336,102.5798926
State,,Mississippi,All,2015-16,201612,,,53,609,8.7027914614,109.90027199
Region,10,,All,2009-10,201032,0,113,113,1745,6.4756446991,94.535326488
State,,Montana,All,2010-11,201117,,,19,176,10.795454545,104.74400592
State,,Wisconsin,All,2017-18,201746,,,53,1031,5.1406401552,113.75846013
State,,Pennsylvania,All,2016-17,201706,,,233,2828,8.2390381895,117.37632384
State,,Massachusetts,All,2014-15,201519,,,94,1090,8.623853211,107.94789539
State,,Rhode Island,All,2015-16,201543,,,13,186,6.9892473118,102.77601523
State,,Massachusetts,All,2013-14,201415,,,88,1178,7.4702886248,116.66295484
State,,Montana,All,2012-13,201325,,,13,181,7.182320442,107.71968791
State,,Tennessee,All,2012-13,201305,,,140,1357,10.316875461,118.62533095
State,,Kentucky,All,2010-11,201050,,,90,911,9.8792535675,112.44256777
State,,New Hampshire,All,2011-12,201152,,,14,218,6.4220183486,109.21163019
State,,Pennsylvania,All,2011-12,201206,,,182,2542,7.1597167585,105.50587525
State,,Minnesota,All,2015-16,201605,,,66,838,7.8758949881,112.16841081
State,,Virginia,All,2016-17,201709,,,117,1397,8.3750894775,122.02352095
State,,Idaho,All,2013-14,201406,,,24,242,9.9173553719,108.86588175
State,,New Jersey,All,2014-15,201511,,,110,1503,7.3186959415,112.86054065
State,,Florida,All,2015-16,201616,,,222,3796,5.8482613277,114.39670089
State,,New York City,All,2013-14,201432,,,87,914,9.5185995624,91.793526314
State,,District of Columbia,All,2010-11,201128,,,5,82,6.0975609756,91.818912403
State,,Tennessee,All,2011-12,201238,,,93,1144,8.1293706294,100.00543744
State,,Louisiana,All,2016-17,201710,,,60,901,6.6592674806,115.18004049
State,,South Dakota,All,2016-17,201705,,,17,171,9.9415204678,124.88730475
State,,Oregon,All,2014-15,201533,,,40,662,6.0422960725,107.45334379
Region,10,,All,2011-12,201221,1,132,133,1788,7.4384787472,96.864850293
Region,4,,All,2010-11,201134,1,601,602,9861,6.1048575195,94.64183539
National,,,65 years and older,2013-14,201401,106,3464,3570,38647,9.2374569824,112.52535231
State,,Rhode Island,All,2011-12,201204,,,30,207,14.492753623,114.37975888
State,,South Dakota,All,2013-14,201347,,,19,121,15.702479339,88.370548974
State,,Tennessee,All,2015-16,201616,,,84,1305,6.4367816092,114.07962925
State,,Mississippi,All,2017-18,201743,,,37,590,6.2711864407,106.47152787
State,,Montana,All,2009-10,200943,,,15,174,8.6206896552,103.55373313
State,,Georgia,All,2012-13,201245,,,87,1435,6.06271777,105.88760729
State,,Kentucky,All,2009-10,200949,,,80,833,9.6038415366,102.8152129
State,,South Carolina,All,2011-12,201229,,,46,818,5.6234718826,102.60962464
State,,New Mexico,All,2016-17,201737,,,20,314,6.3694267516,101.55993686
Region,3,,All,2016-17,201715,23,401,424,5793,7.3191783187,115.02138951
State,,Delaware,All,2013-14,201425,,,11,157,7.0063694268,106.3216901
State,,Wisconsin,All,2016-17,201712,,,71,1100,6.4545454545,121.37178093
State,,South Carolina,All,2009-10,201021,,,57,773,7.3738680466,96.96484089
State,,Michigan,All,2013-14,201344,,,104,1763,5.8990357345,104.4176741
State,,Iowa,All,2009-10,201036,,,44,545,8.0733944954,102.10475362
State,,Montana,All,2014-15,201537,,,11,184,5.9782608696,109.5050971
State,,Maryland,All,2017-18,201744,,,54,893,6.0470324748,107.19672385
State,,Tennessee,All,2013-14,201346,,,113,1292,8.746130031,112.94320382
State,,District of Columbia,All,2018-19,201911,,,5,75,6.6666666667,83.980712564
State,,Mississippi,All,2017-18,201745,,,40,642,6.230529595,115.85545914
State,,New Mexico,All,2015-16,201626,,,21,325,6.4615384615,105.11776904
State,,South Carolina,All,2011-12,201223,,,54,771,7.0038910506,96.713961612
State,,Montana,All,2018-19,201910,,,18,230,7.8260869565,136.88137138
Region,10,,All,2012-13,201329,0,103,103,1882,5.472901169,101.95729768
National,,,18-64 years,2012-13,201333,0,541,541,12042,4.4926092011,96.318792757
State,,Hawaii,All,2017-18,201823,,,13,202,6.4356435644,106.41225992
State,,Vermont,All,2016-17,201708,,,6,120,5,119.60513138
State,,Idaho,All,2012-13,201334,,,9,205,4.3902439024,92.221098173
State,,North Dakota,All,2016-17,201710,,,13,136,9.5588235294,119.48379503
State,,Montana,All,2016-17,201720,,,7,199,3.5175879397,118.43214306
Region,3,,All,2011-12,201224,1,303,304,4923,6.1750964859,97.747333081
Region,4,,All,2012-13,201310,16,888,904,11838,7.6364250718,113.6162709
State,,Virginia,All,2016-17,201736,,,57,1194,4.7738693467,104.29211455
State,,North Carolina,All,2013-14,201415,,,148,1619,9.1414453366,106.74433424
State,,Indiana,All,2011-12,201201,,,114,1200,9.5,109.41024041
State,,Wyoming,All,2013-14,201408,,,9,87,10.344827586,103.60683761
State,,Texas,All,2018-19,201840,,,214,3678,5.8183795541,114.52105978
State,,Georgia,All,2018-19,201904,,,82,1623,5.0523721503,119.75999068
State,,Connecticut,All,2014-15,201534,,,26,517,5.0290135397,93.291487874
National,,,65 years and older,2016-17,201710,391,3493,3884,42775,9.0800701344,120.80202608
State,,Wyoming,All,2012-13,201338,,,11,72,15.277777778,85.743589744
State,,Maine,All,2013-14,201401,,,21,258,8.1395348837,105.5163102
State,,New York City,All,2014-15,201507,,,149,1209,12.324234905,121.42053973
State,,Indiana,All,2011-12,201233,,,57,1006,5.6660039761,91.722251548
State,,Louisiana,All,2015-16,201607,,,58,877,6.6134549601,112.1119817
State,,New Jersey,All,2015-16,201634,,,61,1375,4.4363636364,103.2489976
Region,4,,All,2018-19,201906,64,745,809,12310,6.5718927701,118.1463334
State,,North Dakota,All,2011-12,201217,,,15,129,11.627906977,113.33389382
State,,New York City,All,2016-17,201736,,,80,969,8.2559339525,97.317206781
State,,California,All,2010-11,201118,,,445,4566,9.7459483136,100.69961505
Region,9,,All,2009-10,201005,3,614,617,6186,9.9741351439,102.87611729
Region,2,,All,2014-15,201537,0,233,233,3945,5.9062103929,95.048515373
State,,South Carolina,All,2013-14,201407,,,84,948,8.8607594937,118.9167777
State,,Texas,All,2016-17,201731,,,202,3646,5.5403181569,113.52468297
State,,Montana,All,2012-13,201305,,,22,194,11.340206186,115.45646107
State,,North Carolina,All,2017-18,201743,,,110,1706,6.4478311841,112.48044115
State,,Illinois,All,2010-11,201125,,,122,1816,6.718061674,94.078803863
National,,,All,2018-19,201910,445,3072,3517,49666,7.0813031047,104.38529198
Region,5,,All,2013-14,201407,30,704,734,9433,7.7811936818,111.93673847
State,,Indiana,All,2013-14,201349,,,87,1164,7.4742268041,106.1279332
Region,10,,All,2015-16,201541,1,117,118,1936,6.0950413223,104.88274618
State,,Virginia,All,2010-11,201112,,,89,1182,7.5296108291,103.24395259
National,,,All,2017-18,201818,104,3194,3298,53676,6.1442730457,112.81329144
State,,New Hampshire,All,2011-12,201141,,,7,175,4,87.669886622
Region,6,,All,2016-17,201720,1,395,396,6296,6.289707751,113.26041226
State,,New York,All,2011-12,201226,,,121,1765,6.8555240793,96.814873721
State,,North Dakota,All,2010-11,201108,,,16,111,14.414414414,97.519862121
State,,Vermont,All,2013-14,201414,,,14,113,12.389380531,112.62816539
Region,4,,All,2017-18,201832,4,592,596,11729,5.0814221161,112.57013359
Region,4,,All,2009-10,201006,10,889,899,11070,8.1210478771,106.24532175
State,,Missouri,All,2013-14,201402,,,118,1222,9.6563011457,115.78107504
State,,Minnesota,All,2014-15,201504,,,81,839,9.6543504172,112.30226332
State,,New York City,All,2015-16,201551,,,71,976,7.2745901639,98.020220659
State,,North Carolina,All,2011-12,201206,,,135,1517,8.8991430455,100.01924339
State,,Alabama,All,2011-12,201204,,,74,933,7.9314040729,101.01534939
State,,California,All,2011-12,201145,,,433,4707,9.199065222,103.80926151
State,,West Virginia,All,2015-16,201551,,,51,437,11.670480549,106.00886764
State,,West Virginia,All,2010-11,201123,,,36,389,9.2544987147,94.364873021
State,,Alabama,All,2014-15,201444,,,40,983,4.0691759919,106.42881935
State,,Oklahoma,All,2015-16,201623,,,41,640,6.40625,91.916741683
Region,5,,All,2011-12,201142,2,632,634,8571,7.3970365185,101.70781145
State,,Tennessee,All,2010-11,201139,,,92,1099,8.3712465878,96.071657123
State,,New Mexico,All,2016-17,201735,,,12,348,3.4482758621,112.5568727
State,,North Dakota,All,2010-11,201042,,,11,103,10.67961165,90.49140359
State,,New York,All,2011-12,201143,,,149,1886,7.9003181336,103.4520407
State,,Arkansas,All,2015-16,201548,,,41,601,6.8219633943,107.41320335
National,,,0-17 years,2013-14,201427,0,11,11,699,1.573676681,99.696297775
State,,Texas,All,2014-15,201537,,,243,3427,7.090749927,106.70572917
State,,Iowa,All,2010-11,201050,,,35,586,5.9726962457,109.78602867
State,,North Carolina,All,2015-16,201637,,,95,1567,6.0625398851,103.31585655
State,,Alaska,All,2009-10,201018,,,1,78,1.2820512821,108.2110853
Region,3,,All,2015-16,201607,7,351,358,5790,6.183074266,114.96182379
State,,Arkansas,All,2017-18,201742,,,32,574,5.574912892,102.58765179
State,,North Dakota,All,2014-15,201442,,,7,118,5.9322033898,103.66976334
State,,Maryland,All,2014-15,201443,,,70,862,8.120649652,103.47544901
State,,Minnesota,All,2010-11,201127,,,42,675,6.2222222222,90.350450231
State,,Montana,All,2009-10,201027,,,7,161,4.347826087,95.816959964
State,,Maryland,All,2012-13,201320,,,63,824,7.645631068,98.913886288
State,,Minnesota,All,2015-16,201625,,,43,780,5.5128205128,104.40496471
State,,Louisiana,All,2013-14,201429,,,47,796,5.9045226131,101.75728328
State,,New Hampshire,All,2015-16,201548,,,9,221,4.07239819,110.71454253
State,,Connecticut,All,2010-11,201122,,,37,506,7.3122529644,91.3065626
State,,New York City,All,2009-10,201009,,,107,1051,10.180780209,105.55251221
State,,North Carolina,All,2014-15,201533,,,94,1610,5.8385093168,106.15094387
State,,Arizona,All,2016-17,201647,,,46,1087,4.2318307268,119.84311615
State,,Arizona,All,2015-16,201548,,,49,1062,4.6139359699,117.08683473
State,,Georgia,All,2013-14,201424,,,82,1389,5.9035277178,102.49330071
State,,West Virginia,All,2012-13,201241,,,36,410,8.7804878049,99.459120665
State,,Minnesota,All,2011-12,201201,,,68,800,8.5,107.08201509
State,,Florida,All,2016-17,201704,,,271,3909,6.9327193656,117.80208213
State,,Indiana,All,2012-13,201330,,,76,1054,7.210626186,96.098661164
National,,,0-17 years,2009-10,201029,0,13,13,753,1.7264276228,93.796698158
State,,Utah,All,2009-10,201021,,,20,287,6.968641115,100.49592038
State,,Oregon,All,2013-14,201403,,,61,646,9.4427244582,104.85628412
State,,District of Columbia,All,2011-12,201230,,,8,102,7.8431372549,114.21376909
National,,,65 years and older,2014-15,201451,251,3399,3650,40798,8.9465169861,114.80154268
State,,Colorado,All,2016-17,201645,,,32,682,4.6920821114,111.28825734
State,,New Hampshire,All,2014-15,201508,,,26,257,10.116731518,128.74949064
State,,Connecticut,All,2011-12,201205,,,49,586,8.361774744,105.74238277
State,,Oklahoma,All,2009-10,201033,,,52,700,7.4285714286,100.53393622
State,,Idaho,All,2009-10,201021,,,13,249,5.2208835341,112.01489485
State,,Nebraska,All,2017-18,201820,,,24,309,7.7669902913,105.82018385
Region,10,,All,2014-15,201515,1,138,139,2008,6.922310757,108.78334418
State,,Alaska,All,2015-16,201612,,,4,88,4.5454545455,122.08430136
State,,Wisconsin,All,2015-16,201541,,,54,980,5.5102040816,108.13122301
State,,Alaska,All,2012-13,201319,,,4,72,5.5555555556,99.887155659
Region,4,,All,2009-10,200941,36,731,767,9786,7.8377273656,93.922016137
Region,5,,All,2016-17,201732,0,444,444,8777,5.0586760852,104.15231141
Region,9,,All,2012-13,201323,0,440,440,6029,7.2980593797,100.26513274
State,,New Mexico,All,2011-12,201230,,,21,295,7.1186440678,95.414590362
State,,Indiana,All,2014-15,201527,,,64,1079,5.9314179796,98.378041173
State,,Arkansas,All,2015-16,201605,,,55,616,8.9285714286,110.09406533
State,,Delaware,All,2014-15,201525,,,7,139,5.035971223,94.131942194
State,,Arizona,All,2015-16,201620,,,72,1086,6.6298342541,119.7328649
State,,Mississippi,All,2016-17,201705,,,40,666,6.006006006,120.18650434
State,,New Mexico,All,2018-19,201848,,,25,347,7.204610951,112.23343341
State,,Tennessee,All,2011-12,201204,,,120,1204,9.9667774086,105.25047787
State,,Louisiana,All,2013-14,201426,,,51,799,6.3829787234,102.14079062
State,,Rhode Island,All,2011-12,201217,,,13,176,7.3863636364,97.250423012
Region,9,,All,2014-15,201504,63,728,791,7629,10.368331367,126.87389246
State,,Texas,All,2017-18,201836,,,201,3507,5.7313943541,109.1966712
State,,Florida,All,2010-11,201102,,,269,3686,7.297883885,111.081728
National,,,18-64 years,2009-10,200952,31,731,762,12358,6.1660462858,104.28230646
State,,Michigan,All,2015-16,201634,,,96,1726,5.5619930475,102.22626517
State,,Michigan,All,2014-15,201452,,,161,2046,7.8690127077,121.17899104
State,,Connecticut,All,2013-14,201418,,,59,593,9.9494097808,107.00551704
State,,Massachusetts,All,2014-15,201514,,,109,1169,9.3242087254,115.77164194
State,,Oklahoma,All,2011-12,201232,,,48,705,6.8085106383,101.25203576
State,,Alabama,All,2009-10,200952,,,72,972,7.4074074074,105.23785596
State,,Alaska,All,2010-11,201137,,,12,71,16.901408451,98.499834052
State,,Rhode Island,All,2013-14,201343,,,13,182,7.1428571429,100.56577834
State,,Virginia,All,2010-11,201126,,,88,1103,7.9782411605,96.343553052
State,,Florida,All,2014-15,201538,,,182,3672,4.9564270153,110.65982236
State,,Nevada,All,2016-17,201723,,,36,450,8,117.82170776
State,,North Dakota,All,2015-16,201624,,,11,115,9.5652173913,101.03409139
National,,,0-17 years,2009-10,201001,1,26,27,768,3.515625,107.2268519
State,,New York City,All,2013-14,201401,,,109,1044,10.440613027,104.84949833
State,,Alabama,All,2013-14,201346,,,58,962,6.0291060291,104.15516196
State,,Mississippi,All,2011-12,201218,,,39,581,6.7125645439,104.84738592
State,,South Carolina,All,2012-13,201338,,,62,816,7.5980392157,102.35874536
Region,6,,All,2011-12,201222,1,383,384,5510,6.9691470054,99.120849988
State,,Washington,All,2009-10,201023,,,63,862,7.3085846868,92.151486941
State,,New Jersey,All,2010-11,201045,,,103,1346,7.6523031204,101.07138238
State,,New York,All,2015-16,201612,,,184,2051,8.9712335446,112.50272295
State,,Kentucky,All,2010-11,201124,,,65,744,8.7365591398,91.830154137
State,,Nevada,All,2009-10,201013,,,33,397,8.3123425693,103.94492884
State,,New Mexico,All,2009-10,201031,,,22,262,8.3969465649,84.741093813
Region,9,,All,2016-17,201716,7,512,519,6831,7.5977162934,113.60277355
State,,Arizona,All,2014-15,201524,,,58,981,5.9123343527,108.15648293
State,,Connecticut,All,2010-11,201124,,,50,567,8.8183421517,102.31387548
State,,Montana,All,2015-16,201602,,,16,213,7.5117370892,126.76405262
State,,West Virginia,All,2012-13,201323,,,35,376,9.3085106383,91.211291146
State,,Florida,All,2016-17,201644,,,201,3726,5.3945249597,112.28717268
National,,,65 years and older,2017-18,201742,20,2586,2606,38296,6.804888239,109.76996396
State,,North Carolina,All,2018-19,201912,,,,,,2.1098324248
State,,Washington,All,2013-14,201431,,,66,959,6.882168926,102.52120183
State,,New York,All,2017-18,201744,,,129,1865,6.9168900804,102.30013569
State,,Pennsylvania,All,2010-11,201117,,,162,2362,6.8585944115,98.034963549
State,,Wyoming,All,2009-10,201039,,,2,82,2.4390243902,97.652421652
State,,Oklahoma,All,2010-11,201043,,,53,690,7.6811594203,99.097737127
State,,Virginia,All,2016-17,201725,,,60,1230,4.8780487805,107.43660041
Region,7,,All,2016-17,201734,0,114,114,2430,4.6913580247,103.28480959
State,,Ohio,All,2012-13,201310,,,180,2301,7.8226857888,111.79744328
State,,Ohio,All,2016-17,201725,,,113,2187,5.1668952904,106.2585869
Region,5,,All,2017-18,201820,10,501,511,8760,5.8333333333,103.95058083
State,,New Jersey,All,2012-13,201244,,,66,1368,4.8245614035,102.72336634
Region,6,,All,2009-10,200952,8,563,571,5912,9.6583220568,106.35253451
State,,Mississippi,All,2013-14,201435,,,27,515,5.2427184466,92.937011613
State,,Montana,All,2011-12,201212,,,17,175,9.7142857143,104.14886953
State,,North Dakota,All,2016-17,201735,,,10,112,8.9285714286,98.398419438
State,,Illinois,All,2012-13,201246,,,127,1941,6.5430190623,100.55449245
State,,New Hampshire,All,2011-12,201230,,,14,193,7.2538860104,96.687360675
State,,District of Columbia,All,2011-12,201140,,,3,97,3.0927835052,108.61505492
State,,Colorado,All,2011-12,201235,,,28,571,4.9036777583,93.175359151
State,,Wisconsin,All,2015-16,201606,,,58,1037,5.5930568949,114.42048802
State,,Pennsylvania,All,2016-17,201702,,,196,2910,6.735395189,120.77973917
State,,North Dakota,All,2010-11,201134,,,8,120,6.6666666667,105.42687797
State,,Illinois,All,2009-10,200943,,,177,1900,9.3157894737,98.430466597
State,,North Carolina,All,2013-14,201347,,,115,1602,7.1785268414,105.62348577
State,,Kentucky,All,2010-11,201040,,,68,774,8.7855297158,95.532982933
State,,Maine,All,2009-10,201020,,,20,221,9.0497737557,90.384126177
Region,7,,All,2010-11,201041,0,183,183,2321,7.8845325291,98.651869568
State,,Alaska,All,2012-13,201302,,,11,79,13.924050633,109.5984069
State,,Idaho,All,2014-15,201507,,,16,224,7.1428571429,100.76841947
Region,1,,All,2009-10,201025,0,162,162,2201,7.3602907769,96.140655207
State,,Tennessee,All,2018-19,201851,,,90,1400,6.4285714286,122.38427659
State,,Texas,All,2012-13,201252,,,352,3854,9.1333679294,120.00113225
State,,Arizona,All,2009-10,201034,,,49,881,5.561861521,97.131357251
State,,District of Columbia,All,2016-17,201725,,,3,87,3.4482758621,97.417626574
Region,6,,All,2009-10,201021,1,353,354,5333,6.6379148697,95.936750089
State,,Kansas,All,2015-16,201627,,,34,507,6.7061143984,107.5275255
State,,Vermont,All,2016-17,201642,,,1,98,1.0204081633,97.677523964
State,,South Carolina,All,2015-16,201637,,,70,949,7.3761854584,119.04221734
National,,,65 years and older,2009-10,201036,1,2578,2579,32235,8.0006204436,94.185521075
State,,Iowa,All,2010-11,201040,,,37,565,6.5486725664,105.85171706
State,,Pennsylvania,All,2011-12,201149,,,154,2465,6.247464503,102.30998524
Region,2,,All,2013-14,201432,0,266,266,3826,6.9524307371,92.181399193
Region,8,,All,2014-15,201509,11,118,129,1583,8.1490840177,112.97837393
State,,California,All,2015-16,201609,,,565,5526,10.224393775,121.87167604
State,,Wisconsin,All,2017-18,201823,,,46,939,4.898828541,103.60736572
State,,Nebraska,All,2016-17,201640,,,17,284,5.985915493,97.2586803
State,,California,All,2010-11,201124,,,432,4502,9.5957352288,99.288144321
State,,Louisiana,All,2014-15,201445,,,40,835,4.7904191617,106.74287881
State,,Washington,All,2009-10,201015,,,79,1008,7.8373015873,107.75951141
State,,Massachusetts,All,2015-16,201552,,,72,1023,7.0381231672,101.31256604
Region,9,,All,2012-13,201241,1,441,442,5899,7.492795389,98.10317101
State,,Wyoming,All,2016-17,201725,,,6,84,7.1428571429,100.03418803
State,,Oklahoma,All,2011-12,201203,,,79,733,10.777626194,105.27339321
State,,Arizona,All,2013-14,201409,,,82,1044,7.8544061303,115.10231211
National,,,0-17 years,2011-12,201145,0,8,8,704,1.1363636364,102.22679936
State,,North Carolina,All,2014-15,201443,,,101,1639,6.1622940818,108.06297951
State,,Maine,All,2018-19,201910,,,31,339,9.1445427729,138.64352386
Region,8,,All,2011-12,201148,0,108,108,1414,7.6379066478,100.91687981
State,,Massachusetts,All,2015-16,201610,,,101,1129,8.9459698849,111.81025128
State,,Arizona,All,2014-15,201531,,,53,965,5.4922279793,106.39246282
Region,4,,All,2014-15,201524,1,666,667,11179,5.9665444136,107.29145906
State,,Colorado,All,2015-16,201615,,,50,749,6.6755674232,122.22126796
State,,New York City,All,2012-13,201301,,,172,1215,14.156378601,122.02312305
State,,Florida,All,2013-14,201350,,,213,3429,6.2117235346,103.33674588
State,,South Dakota,All,2012-13,201326,,,5,106,4.7169811321,77.415522242
State,,Nevada,All,2013-14,201423,,,31,409,7.5794621027,107.08684105
Region,9,,All,2014-15,201515,5,518,523,6753,7.7447060566,112.30559651
State,,District of Columbia,All,2015-16,201544,,,7,98,7.1428571429,109.73479775
State,,Connecticut,All,2016-17,201724,,,45,575,7.8260869565,103.7574575
State,,Vermont,All,2016-17,201713,,,14,138,10.144927536,137.54590109
State,,Texas,All,2015-16,201609,,,295,3850,7.6623376623,119.87658514
State,,Delaware,All,2016-17,201739,,,5,176,2.8409090909,119.18864623
National,,,0-17 years,2015-16,201637,1,14,15,753,1.9920318725,104.92544058
National,,,0-17 years,2017-18,201824,1,12,13,684,1.9005847953,107.92252966
Region,10,,All,2013-14,201425,3,109,112,1859,6.0247444863,100.71127332
State,,Florida,All,2009-10,201001,,,215,3629,5.9244971066,109.36396932
State,,Montana,All,2015-16,201548,,,8,216,3.7037037037,128.54946181
State,,Tennessee,All,2011-12,201229,,,94,1103,8.5222121487,96.421326485
Region,4,,All,2009-10,201011,4,906,910,10879,8.3647394062,104.41218205
State,,Illinois,All,2014-15,201501,,,314,2510,12.509960159,130.03182692
State,,Alaska,All,2013-14,201408,,,8,86,9.3023255814,119.30965815
National,,,18-64 years,2017-18,201824,6,549,555,13308,4.1704238052,107.92252966
State,,South Dakota,All,2011-12,201208,,,17,163,10.429447853,119.04462382
National,,,All,2011-12,201202,7,4245,4252,50962,8.3434716063,107.10915415
Region,6,,All,2009-10,201027,1,339,340,5172,6.5738592421,93.040478428
State,,Alabama,All,2015-16,201601,,,72,1027,7.0107108082,111.19267291
Region,3,,All,2009-10,201022,0,323,323,4747,6.804297451,94.252811321
Region,1,,All,2014-15,201440,0,148,148,2329,6.3546586518,101.73175192
State,,South Dakota,All,2012-13,201306,,,16,158,10.126582278,115.39294825
State,,Indiana,All,2009-10,201022,,,77,992,7.7620967742,90.445798743
State,,Wisconsin,All,2010-11,201105,,,70,981,7.1355759429,108.24156099
State,,Nevada,All,2017-18,201742,,,35,450,7.7777777778,117.82170776
